10387.0,333.134,189.688,319.851,663.859,586.502,843.029,513.45,203.255,840.865,1.0,818.64,663.02,684.919,405.773,575.404,528.671,549.613,269.113,554.963,186.004,582.828,462.367,565.758,265.998,474.017,266.754,224.222,698.699,622.935,756.057,793.351,662.889,672.837,483.837,347.495,318.081,489.455,268.518,790.938,263.382,434.25,505.397,516.107,210.603,653.763,787.629,594.338,429.87,477.593,85.674,100.717,415.984,186.431,115.377,595.57,252.332,260.68,328.043,257.817,382.805,302.251,426.988,862.548,907.902,822.845,411.522,317.048,375.532,201.91,307.191,342.383,481.398,454.31,169.562,304.195,123.806,179.698,488.562,299.478,760.148,703.743,750.369,599.333,556.753,418.907,470.84,225.836,75.121,272.684,144.977,187.336,175.89,155.159,209.691
11069.0,525.34,900.452,539.55,404.18,445.114,470.463,341.42,1008.504,88.038,817.23,1.0,238.02,312.354,931.935,322.368,446.897,512.354,569.625,335.058,635.886,886.116,465.262,360.091,693.897,347.403,802.671,714.209,908.858,199.506,93.076,172.25,335.706,149.098,790.023,498.254,678.17,442.247,590.874,273.475,634.471,466.004,375.461,676.296,645.482,203.706,206.058,289.827,725.832,938.271,890.923,741.315,804.363,849.473,827.19,788.565,899.751,602.259,984.998,848.173,826.668,945.582,428.184,283.63,240.815,113.987,931.79,860.254,447.486,735.112,514.673,772.015,499.281,556.458,769.599,875.915,783.212,762.816,514.386,903.802,164.657,143.843,377.803,239.127,624.376,579.813,379.114,827.371,743.941,782.34,757.096,770.453,776.263,765.785,798.267
12202.0,480.046,789.769,354.714,430.974,471.908,497.257,240.606,880.021,232.387,679.973,238.763,1.0,339.147,828.902,91.814,320.609,561.054,425.07,153.613,566.57,785.563,340.516,235.344,627.911,374.196,691.988,603.526,808.306,226.299,148.944,229.297,384.406,172.22,689.471,373.508,575.137,469.041,541.137,364.603,523.788,259.797,190.626,575.743,534.799,113.246,254.759,104.992,683.029,897.676,776.677,671.999,756.815,780.158,757.874,688.012,830.435,417.424,874.315,737.49,723.636,834.899,243.349,350.199,307.384,269.961,865.805,794.268,401.286,669.127,445.357,668.983,403.912,442.891,658.916,765.232,613.617,652.133,418.49,793.119,70.989,130.878,404.597,265.921,523.823,375.856,254.367,758.055,536.673,716.354,646.412,659.77,665.58,655.102,687.584
13055.0,392.02,861.617,502.266,139.619,180.553,199.201,208.101,875.185,398.682,683.911,313.15,339.03,1.0,1001.113,423.105,757.542,822.997,648.297,499.717,502.567,1146.887,633.734,670.735,560.577,214.084,862.094,820.637,1219.502,121.981,403.72,482.894,646.35,167.347,1029.302,664.939,798.364,308.928,457.555,584.119,747.015,332.685,300.512,986.94,758.027,514.35,516.702,265.604,906.256,1072.933,757.604,607.996,980.043,716.154,693.871,1099.209,766.431,566.344,999.973,853.346,946.863,974.181,473.841,594.274,551.459,317.356,798.471,726.935,314.167,601.793,381.354,892.21,365.962,423.139,775.18,899.535,727.782,775.039,825.03,908.975,364.256,454.487,65.863,103.996,935.02,775.445,689.758,694.052,610.621,649.021,742.857,782.676,781.843,771.381,808.904
14118.0,658.455,373.185,529.616,982.022,904.664,1161.191,831.612,469.77,927.04,408.231,933.416,830.227,1003.082,1.0,649.196,470.099,428.891,419.039,568.15,544.794,229.795,475.554,554.578,639.315,792.18,156.703,237.04,367.174,941.097,842.231,803.009,604.317,921.606,185.674,395.976,259.51,807.618,642.147,732.366,302.545,724.071,713.254,289.911,308.796,666.95,738.703,761.545,247.261,72.593,425.363,500.84,164.046,586.713,490.588,293.468,570.301,470.444,389.204,208.689,109.952,349.788,594.195,803.977,849.33,1019.346,729.49,794.375,693.694,602.033,625.354,160.854,799.561,788.602,234.949,128.724,288.683,225.126,429.99,253.06,773.335,716.93,1068.531,917.496,374.144,360.336,484.028,625.959,398.794,727.758,264.016,224.543,244.944,253.511,222.281
15014.0,393.002,688.513,267.67,514.866,555.8,581.149,255.906,778.764,321.505,592.929,327.881,90.94,423.04,647.3,1.0,272.47,441.752,338.026,79.964,479.526,698.37,193.836,172.2,540.867,271.286,590.732,502.27,721.113,310.191,238.063,279.182,297.306,256.112,602.278,286.315,393.534,419.24,454.093,424.671,422.532,236.688,162.529,488.55,433.543,134.846,273.46,151.175,427.727,716.073,689.634,584.956,575.213,693.114,670.83,600.819,743.391,330.38,773.059,636.234,542.033,733.643,156.305,434.93,392.115,353.853,778.761,707.225,314.242,582.083,358.313,487.38,411.183,450.161,557.66,663.976,526.573,550.876,331.298,691.863,160.108,189.573,488.489,349.813,436.63,288.663,167.174,671.011,449.629,629.311,545.156,558.514,564.324,553.846,586.328
16015.0,478.335,580.724,317.067,849.538,715.645,915.821,575.012,670.975,441.1,527.904,447.476,321.097,757.712,468.511,271.922,1.0,148.407,278.901,190.877,515.928,483.636,174.731,85.799,577.269,610.514,502.746,394.48,506.379,644.863,356.292,317.069,118.378,594.456,387.544,207.53,214.745,618.598,539.426,246.427,275.681,492.451,481.634,273.816,327.305,253.174,252.764,432.142,247.626,537.284,624.608,620.513,396.424,767.734,644.183,386.086,771.506,335.039,665.269,528.445,363.244,625.854,332.217,318.037,363.391,559.345,815.163,743.626,513.601,618.485,443.673,308.591,610.541,649.52,449.871,519.893,463.484,443.087,116.564,584.074,422.85,326.482,823.161,684.485,221.896,112.734,104.316,745.632,487.326,665.712,437.367,450.725,456.534,446.057,478.539
17300.0,681.614,603.072,473.317,914.562,955.496,980.845,851.802,693.323,506.124,550.252,512.5,503.84,822.736,427.097,441.685,147.622,1.0,374.216,383.061,655.675,347.009,291.243,276.207,750.195,797.311,461.333,395.547,369.751,709.887,421.316,382.093,183.402,659.48,250.917,268.86,237.093,805.396,753.028,311.451,298.028,679.248,668.431,137.189,349.652,409.703,317.788,613.699,186.725,399.164,646.956,642.861,265.256,790.082,666.531,249.458,793.853,443.211,687.617,550.793,321.831,648.202,513.774,383.061,428.415,624.369,927.349,916.553,700.398,744.053,646.951,276.126,797.338,836.317,472.219,478.48,485.831,465.435,62.935,598.013,487.874,391.506,888.185,749.509,85.269,138.736,225.217,767.98,509.674,838.638,459.715,473.072,478.882,468.405,500.886
18033.0,271.3,378.993,99.765,620.615,543.258,807.138,402.625,469.245,563.754,269.574,570.13,426.219,649.029,418.126,338.604,278.189,374.786,1.0,309.084,247.017,512.883,170.341,288.647,341.537,438.127,281.212,192.75,582.811,499.801,478.946,516.24,488.062,517.598,395.299,66.163,164.361,446.211,332.391,616.111,113.012,320.064,309.247,358.491,124.023,376.651,510.518,357.538,272.253,486.9,366.278,362.183,346.039,509.404,385.853,462.518,532.936,66.51,463.539,326.714,312.86,424.123,190.188,687.721,629.173,615.339,579.431,507.894,341.214,382.753,236.638,258.207,438.154,477.133,248.14,354.456,203.218,241.357,313.735,382.343,496.477,426.632,714.478,563.443,361.257,244.08,193.729,487.302,143.722,429.98,235.637,248.994,254.804,244.326,276.808
19272.0,403.328,608.501,238.036,603.97,526.613,661.214,385.98,698.753,318.714,555.681,325.09,155.71,503.105,567.287,82.914,192.458,373.011,308.392,1.0,415.5,618.358,173.311,103.459,476.841,421.482,510.72,422.258,641.101,390.257,233.905,271.2,228.565,336.177,522.266,206.303,313.522,429.566,464.419,355.93,342.52,303.419,292.602,408.538,353.531,131.611,265.478,243.11,347.715,636.061,652.385,520.929,495.201,629.087,606.804,520.807,679.364,300.746,693.047,556.222,462.021,653.631,143.184,426.947,384.132,436.958,714.734,643.198,324.568,518.056,368.64,407.368,421.509,460.488,477.648,583.964,491.261,470.864,251.285,611.851,237.996,181.591,568.554,429.878,356.618,208.651,87.162,606.985,419.995,565.284,465.144,478.502,484.312,473.834,506.316
